"class_id"	"class_description"	"sub_class_id"	"sub_class_description"
"1225"	"Trades & Services"	"6240"	"Plumbers"
"1225"	"Trades & Services"	"6241"	"Security Services"
"1225"	"Trades & Services"	"6242"	"Tailors & Dressmakers"
"1225"	"Trades & Services"	"6243"	"Technicians"
"1225"	"Trades & Services"	"6244"	"Welders & Boilermakers"
"1225"	"Trades & Services"	"6245"	"Other"
"6008"	"Marketing & Communications"	"6009"	"Brand Management"
"6008"	"Marketing & Communications"	"6010"	"Digital & Search Marketing"
"6008"	"Marketing & Communications"	"6011"	"Direct Marketing & CRM"
"6008"	"Marketing & Communications"	"6012"	"Event Management"
"6008"	"Marketing & Communications"	"6013"	"Internal Communications"
"6008"	"Marketing & Communications"	"6014"	"Market Research & Analysis"
"6008"	"Marketing & Communications"	"6015"	"Marketing Assistants/Coordinators"
"6008"	"Marketing & Communications"	"6016"	"Marketing Communications"
"6008"	"Marketing & Communications"	"6017"	"Management"
"6008"	"Marketing & Communications"	"6018"	"Product Management & Development"
"6008"	"Marketing & Communications"	"6019"	"Public Relations & Corporate Affairs"
"6008"	"Marketing & Communications"	"6020"	"Trade Marketing"
"6008"	"Marketing & Communications"	"6021"	"Other"
"6043"	"Retail & Consumer Products"	"6044"	"Buying"
"6043"	"Retail & Consumer Products"	"6045"	"Management - Area/Multi-site"
"6043"	"Retail & Consumer Products"	"6046"	"Management - Department/Assistant"
"6043"	"Retail & Consumer Products"	"6047"	"Management - Store"
"6043"	"Retail & Consumer Products"	"6048"	"Merchandisers"
"6043"	"Retail & Consumer Products"	"6049"	"Planning"
"6043"	"Retail & Consumer Products"	"6050"	"Retail Assistants"
"6043"	"Retail & Consumer Products"	"6051"	"Other"
"6058"	"Mining, Resources & Energy"	"6059"	"Analysis & Reporting"
"6058"	"Mining, Resources & Energy"	"6060"	"Health, Safety & Environment"
"6058"	"Mining, Resources & Energy"	"6061"	"Management"
"6058"	"Mining, Resources & Energy"	"6062"	"Mining - Drill & Blast"
"6058"	"Mining, Resources & Energy"	"6063"	"Mining - Engineering & Maintenance"
"6058"	"Mining, Resources & Energy"	"6064"	"Mining - Exploration & Geoscience"
"6058"	"Mining, Resources & Energy"	"6065"	"Mining - Processing"
"6058"	"Mining, Resources & Energy"	"6066"	"Mining - Operations"
"6058"	"Mining, Resources & Energy"	"6067"	"Oil & Gas - Drilling"
"6058"	"Mining, Resources & Energy"	"6068"	"Oil & Gas - Engineering & Maintenance"
"6058"	"Mining, Resources & Energy"	"6069"	"Oil & Gas - Exploration & Geoscience"
"6058"	"Mining, Resources & Energy"	"6070"	"Oil & Gas - Production & Refinement"
"6058"	"Mining, Resources & Energy"	"6071"	"Oil & Gas - Operations"
"6058"	"Mining, Resources & Energy"	"6072"	"Power Generation & Distribution"
"6058"	"Mining, Resources & Energy"	"6073"	"Natural Resources & Water"
"6058"	"Mining, Resources & Energy"	"6074"	"Surveying"
"6058"	"Mining, Resources & Energy"	"6075"	"Other"
"6076"	"Consulting & Strategy"	"6077"	"Analysts"
"6076"	"Consulting & Strategy"	"6078"	"Corporate Development"
"6076"	"Consulting & Strategy"	"6079"	"Environment & Sustainability Consulting"
"6076"	"Consulting & Strategy"	"6080"	"Management & Change Consulting"
"6076"	"Consulting & Strategy"	"6081"	"Policy"
"6076"	"Consulting & Strategy"	"6082"	"Strategy & Planning"
"6076"	"Consulting & Strategy"	"6083"	"Other"
"6092"	"Manufacturing, Transport & Logistics"	"6093"	"Assembly & Process Work"
"6092"	"Manufacturing, Transport & Logistics"	"6094"	"Aviation Services"
"6092"	"Manufacturing, Transport & Logistics"	"6095"	"Analysis & Reporting"
"6092"	"Manufacturing, Transport & Logistics"	"6096"	"Couriers, Drivers & Postal Services"
"6092"	"Manufacturing, Transport & Logistics"	"6097"	"Fleet Management"
"6092"	"Manufacturing, Transport & Logistics"	"6098"	"Freight/Cargo Forwarding"
"6092"	"Manufacturing, Transport & Logistics"	"6099"	"Import/Export & Customs"
"6092"	"Manufacturing, Transport & Logistics"	"6100"	"Public Transport & Taxi Services"
"6092"	"Manufacturing, Transport & Logistics"	"6101"	"Machine Operators"
"6092"	"Manufacturing, Transport & Logistics"	"6102"	"Management"
"6092"	"Manufacturing, Transport & Logistics"	"6103"	"Production, Planning & Scheduling"
"6092"	"Manufacturing, Transport & Logistics"	"6104"	"Pattern Makers & Garment Technicians"
"6092"	"Manufacturing, Transport & Logistics"	"6105"	"Pickers & Packers"
"6092"	"Manufacturing, Transport & Logistics"	"6106"	"Quality Assurance & Control"
"6092"	"Manufacturing, Transport & Logistics"	"6107"	"Team Leaders/Supervisors"
"6092"	"Manufacturing, Transport & Logistics"	"6108"	"Warehousing, Storage & Distribution"
"6092"	"Manufacturing, Transport & Logistics"	"6109"	"Purchasing, Procurement & Inventory"
"6092"	"Manufacturing, Transport & Logistics"	"6110"	"Rail & Maritime Transport"
"6092"	"Manufacturing, Transport & Logistics"	"6111"	"Road Transport"
"6092"	"Manufacturing, Transport & Logistics"	"6112"	"Other"
"6123"	"Education & Training"	"6124"	"Childcare & Outside School Hours Care"
"6123"	"Education & Training"	"6125"	"Library Services & Information Management"
"6123"	"Education & Training"	"6126"	"Management - Schools"
"6123"	"Education & Training"	"6127"	"Management - Universities"
"6123"	"Education & Training"	"6128"	"Management - Vocational"
"6123"	"Education & Training"	"6129"	"Research & Fellowships"
"6123"	"Education & Training"	"6130"	"Student Services"
"6123"	"Education & Training"	"6131"	"Teaching Aides & Special Needs"
"6123"	"Education & Training"	"6132"	"Teaching - Early Childhood"
"6123"	"Education & Training"	"6133"	"Teaching - Primary"
"6123"	"Education & Training"	"6134"	"Teaching - Secondary"
"6123"	"Education & Training"	"6135"	"Teaching - Tertiary"
"6123"	"Education & Training"	"6136"	"Teaching - Vocational"
"6123"	"Education & Training"	"6137"	"Tutoring"
"6123"	"Education & Training"	"6138"	"Workplace Training & Assessment"
"6123"	"Education & Training"	"6139"	"Other"
"6163"	"Community Services & Development"	"6164"	"Aged & Disability Support"
"6163"	"Community Services & Development"	"6165"	"Child Welfare, Youth & Family Services"
"6163"	"Community Services & Development"	"6166"	"Community Development"
"6163"	"Community Services & Development"	"6167"	"Employment Services"
"6163"	"Community Services & Development"	"6168"	"Fundraising"
"6163"	"Community Services & Development"	"6169"	"Housing & Homelessness Services"
"6163"	"Community Services & Development"	"6170"	"Indigenous & Multicultural Services"
"6163"	"Community Services & Development"	"6171"	"Management"
"6163"	"Community Services & Development"	"6172"	"Volunteer Coordination & Support"
"6163"	"Community Services & Development"	"6173"	"Other"
"6205"	"Farming, Animals & Conservation"	"6206"	"Agronomy & Farm Services"
"6205"	"Farming, Animals & Conservation"	"6207"	"Conservation, Parks & Wildlife"
"6205"	"Farming, Animals & Conservation"	"6208"	"Farm Labour"
"6205"	"Farming, Animals & Conservation"	"6209"	"Farm Management"
"6205"	"Farming, Animals & Conservation"	"6210"	"Fishing & Aquaculture"
"6205"	"Farming, Animals & Conservation"	"6211"	"Horticulture"
"6205"	"Farming, Animals & Conservation"	"6212"	"Veterinary Services & Animal Welfare"
"6205"	"Farming, Animals & Conservation"	"6213"	"Winery & Viticulture"
"6205"	"Farming, Animals & Conservation"	"6214"	"Other"
"6246"	"Sport & Recreation"	"6247"	"Coaching & Instruction"
"6246"	"Sport & Recreation"	"6248"	"Fitness & Personal Training"
"6246"	"Sport & Recreation"	"6249"	"Management"
"6246"	"Sport & Recreation"	"6250"	"Other"
"6251"	"Administration & Office Support"	"6252"	"Administrative Assistants"
"6251"	"Administration & Office Support"	"6253"	"Client & Sales Administration"
"6251"	"Administration & Office Support"	"6254"	"Contracts Administration"
"6251"	"Administration & Office Support"	"6255"	"Data Entry & Word Processing"
"6251"	"Administration & Office Support"	"6256"	"Office Management"
"6251"	"Administration & Office Support"	"6257"	"PA, EA & Secretarial"
"6251"	"Administration & Office Support"	"6258"	"Receptionists"
"6251"	"Administration & Office Support"	"6259"	"Records Management & Document Control"
"6251"	"Administration & Office Support"	"6260"	"Other"
"6261"	"Self Employment"	"6262"	"Self Employment"
"6263"	"Design & Architecture"	"6264"	"Architecture"
"6263"	"Design & Architecture"	"6265"	"Architectural Drafting"
"6263"	"Design & Architecture"	"6266"	"Illustration & Animation"
"6263"	"Design & Architecture"	"6267"	"Fashion & Textile Design"
"6263"	"Design & Architecture"	"6268"	"Graphic Design"
"6263"	"Design & Architecture"	"6269"	"Industrial Design"
"6263"	"Design & Architecture"	"6270"	"Interior Design"
"6263"	"Design & Architecture"	"6271"	"Landscape Architecture"
"6263"	"Design & Architecture"	"6272"	"Urban Design & Planning"
"6263"	"Design & Architecture"	"6273"	"Web & Interaction Design"
"6263"	"Design & Architecture"	"6274"	"Other"
"6281"	"Information & Communication Technology"	"6282"	"Architects"
"6281"	"Information & Communication Technology"	"6283"	"Business/Systems Analysts"
"6281"	"Information & Communication Technology"	"6284"	"Computer Operators"
"6281"	"Information & Communication Technology"	"6285"	"Consultants"
"6281"	"Information & Communication Technology"	"6286"	"Database Development & Administration"
"6281"	"Information & Communication Technology"	"6287"	"Developers/Programmers"
"6281"	"Information & Communication Technology"	"6288"	"Engineering - Hardware"
"6281"	"Information & Communication Technology"	"6289"	"Engineering - Network"
"6281"	"Information & Communication Technology"	"6290"	"Engineering - Software"
"6281"	"Information & Communication Technology"	"6291"	"Help Desk & IT Support"
"6281"	"Information & Communication Technology"	"6292"	"Management"
"6281"	"Information & Communication Technology"	"6293"	"Networks & Systems Administration"
"6281"	"Information & Communication Technology"	"6294"	"Product Management & Development"
"6281"	"Information & Communication Technology"	"6295"	"Programme & Project Management"
"6281"	"Information & Communication Technology"	"6296"	"Sales - Pre & Post"
"6281"	"Information & Communication Technology"	"6297"	"Security"
"6281"	"Information & Communication Technology"	"6298"	"Team Leaders"
"6281"	"Information & Communication Technology"	"6299"	"Technical Writing"
"6281"	"Information & Communication Technology"	"6300"	"Telecommunications"
"6281"	"Information & Communication Technology"	"6301"	"Testing & Quality Assurance"
"6281"	"Information & Communication Technology"	"6302"	"Web Development & Production"
"6281"	"Information & Communication Technology"	"6303"	"Other"
"6304"	"Advertising, Arts & Media"	"6305"	"Agency Account Management"
"6304"	"Advertising, Arts & Media"	"6306"	"Art Direction"
"6304"	"Advertising, Arts & Media"	"6307"	"Editing & Publishing"
"6304"	"Advertising, Arts & Media"	"6308"	"Event Management"
"6304"	"Advertising, Arts & Media"	"6309"	"Journalism & Writing"
"6304"	"Advertising, Arts & Media"	"6310"	"Management"
"6304"	"Advertising, Arts & Media"	"6311"	"Media Strategy, Planning & Buying"
"6304"	"Advertising, Arts & Media"	"6312"	"Performing Arts"
"6304"	"Advertising, Arts & Media"	"6313"	"Photography"
"6304"	"Advertising, Arts & Media"	"6314"	"Programming & Production"
"6304"	"Advertising, Arts & Media"	"6315"	"Promotions"
"6304"	"Advertising, Arts & Media"	"6316"	"Other"
"6317"	"Human Resources & Recruitment"	"6318"	"Consulting & Generalist HR"
"6317"	"Human Resources & Recruitment"	"6319"	"Industrial & Employee Relations"
"6317"	"Human Resources & Recruitment"	"6320"	"Management - Agency"
"6317"	"Human Resources & Recruitment"	"6321"	"Management - Internal"
"6317"	"Human Resources & Recruitment"	"6322"	"Occupational Health & Safety"
"6317"	"Human Resources & Recruitment"	"6323"	"Organisational Development"
"6317"	"Human Resources & Recruitment"	"6324"	"Recruitment - Agency"
"6317"	"Human Resources & Recruitment"	"6325"	"Recruitment - Internal"
"6317"	"Human Resources & Recruitment"	"6326"	"Remuneration & Benefits"
"6317"	"Human Resources & Recruitment"	"6327"	"Training & Development"
"6317"	"Human Resources & Recruitment"	"6328"	"Other"
"6362"	"Sales"	"6363"	"Account & Relationship Management"
"6362"	"Sales"	"6364"	"Analysis & Reporting"
"6362"	"Sales"	"6365"	"New Business Development"
"6362"	"Sales"	"6366"	"Management"
"6362"	"Sales"	"6367"	"Sales Coordinators"
"6362"	"Sales"	"6368"	"Sales Representatives/Consultants"
"6362"	"Sales"	"6369"	"Other"
"7019"	"CEO & General Management"	"7020"	"Board Appointments"
"7019"	"CEO & General Management"	"7021"	"CEO"
"7019"	"CEO & General Management"	"7022"	"COO & MD"
"7019"	"CEO & General Management"	"7023"	"General/Business Unit Manager"
"7019"	"CEO & General Management"	"7024"	"Other"
